,bass,brass,flute,guitar,keyboard,mallet,organ,reed,string,synth_lead,vocal
bass,425,92,0,0,0,0,0,0,0,0,0
brass,8,166,0,0,0,0,0,0,0,0,0
flute,30,56,0,0,0,0,0,0,0,0,0
guitar,174,49,0,0,0,0,0,0,0,0,0
keyboard,0,0,0,0,0,0,0,0,0,0,0
mallet,0,0,0,0,0,0,0,0,0,0,0
organ,0,0,0,0,0,0,0,0,0,0,0
reed,0,0,0,0,0,0,0,0,0,0,0
string,0,0,0,0,0,0,0,0,0,0,0
synth_lead,0,0,0,0,0,0,0,0,0,0,0
vocal,0,0,0,0,0,0,0,0,0,0,0
